id;disciplina;assunto;enunciado;alt_a;alt_b;alt_c;alt_d;gabarito;just_a;just_b;just_c;just_d;dica_interpretacao;formula_aplicavel;dificuldade
152;Matemática Financeira;Juros Compostos;Qual o montante de R$ 2.000,00 aplicado a juros compostos de 3% ao mês por 2 meses?;R$ 2.120,00;R$ 2.121,80;R$ 2.060,00;R$ 2.180,00;B;Errado. Este é o cálculo para juros simples.;Correto. M = C × (1+i)^t = 2000 × (1,03)^2 = 2000 × 1,0609 = 2121,80;Errado. Este é o valor dos juros do primeiro mês apenas.;Errado. Verifique a aplicação da fórmula de juros compostos.;"Juros compostos: \""juros sobre juros\"". Use a fórmula do montante.";M = C × (1+i)^t;Médio
153;Conhecimentos Bancários;Sistema Financeiro Nacional;Qual instituição é responsável pela supervisão do Sistema Financeiro Nacional?;Banco Central do Brasil;Comissão de Valores Mobiliários (CVM);Conselho Monetário Nacional (CMN);Superintendência de Seguros Privados (SUSEP);A;Correto. O BACEN é o supervisor do SFN.;Errado. A CVM regula o mercado de capitais.;Errado. O CMN é o órgão normativo máximo.;Errado. A SUSEP regula o mercado de seguros.;BACEN = executor e supervisor;CMN = formulador de políticas., N/A;Fácil
154;Conhecimentos Bancários;Produtos Bancários;Qual produto financeiro NÃO é considerado uma aplicação de renda fixa?;CDB;LCI;LCA;Ações;D;Errado. CDB é Certificado de Depósito Bancário, renda fixa.;Errado. LCI é Letra de Crédito Imobiliário, renda fixa isenta de IR para PF.;Errado. LCA é Letra de Crédito do Agronegócio, renda fixa isenta de IR para PF.;Correto. Ações são investimentos de renda variável.;Renda fixa = retorno previsível;Renda variável = retorno incerto., N/A;Fácil
155;Informática;Segurança da Informação;Qual desses NÃO é um exemplo de malware?;Firewall;Vírus;Worm;Trojan;A;Correto. Firewall é um sistema de segurança, não um malware.;Errado. Vírus é um tipo de malware que infecta arquivos.;Errado. Worm é um malware que se autorreplica.;Errado. Trojan é um malware que se disfarça de software legítimo.;Malware = software malicioso;Firewall = sistema de defesa., N/A;Fácil
156;Informática;Planilhas Eletrônicas;Na função =SE(A1>10;"\""Aprovado\""";"\""Reprovado\"") do Excel, o que acontece se A1 for igual a 15?";"Retorna \""Aprovado\""";"Retorna \""Reprovado\""";C;Retorna FALSO;A;"Correto. 15 > 10 é VERDADEIRO, então retorna o primeiro valor (\""Aprovado\"").";"Errado. Só retornaria \""Reprovado\"" se A1 fosse menor ou igual a 10.Errado. A função SE retorna os valores especificados, não VERDADEIRO/FALSO., Errado. O teste lógico é verdadeiro, então não retorna FALSO., Função SE: =SE(teste_lógico, valor_se_verdadeiro, valor_se_falso), N/A";N/A;N/A;Fácil
157;Vendas e Negociação;Técnicas de Vendas;Qual técnica de vendas envolve responder a uma objeção do cliente transformando-a em uma razão para comprar?;Método SPIN;Técnica do Feel-Felt-Found;Método LAER;Técnica da Boomerangue;D;Errado. SPIN é sobre fazer perguntas situacionais, problemáticas, etc.;Errado. Feel-Felt-Found é sobre empatia e exemplos.;Errado. LAER é escuta ativa (Ouvir, Acusar, Esclarecer, Responder).;"Correto. A técnica da Boomerangue \""devolve\"" a objeção como benefício.";Boomerangue = devolver a objeção como vantagem.;N/A;Médio
158;Vendas e Negociação;Comportamento do Consumidor;Na jornada de compra, qual etapa caracteriza o momento em que o cliente reconhece que tem um problema ou necessidade?;Consciência;Consideração;Decisão;Fidelização;A;Correto. Fase inicial onde o cliente percebe uma necessidade.;Errado. Consideração é quando busca soluções.;Errado. Decisão é quando escolhe uma solução.;Errado. Fidelização é após a compra.;Primeiro: perceber o problema;depois: buscar soluções., N/A;Fácil
159;Psicologia;Gestão de Pessoas;Qual teoria motivacional propõe que as pessoas são motivadas por cinco necessidades hierárquicas?;Teoria dos Dois Fatores (Herzberg);Teoria X e Y (McGregor);Hierarquia das Necessidades (Maslow);Teoria da Expectância (Vroom);C;Errado. Herzberg fala em fatores higiênicos e motivacionais.;Errado. McGregor trata de visões sobre a natureza humana no trabalho.;Correto. Maslow propõe a pirâmide com necessidades fisiológicas, segurança, sociais, estima e autorrealização.;Errado. Vroom foca em expectativa, instrumentalidade e valência.;Pirâmide de Maslow: base (fisiológicas) até topo (autorrealização).;N/A;Fácil
160;Psicologia;Saúde Mental;Qual é um sintoma característico da Síndrome de Burnout?;Aumento da produtividade;Sentimentos de energia e realização;Exaustão emocional e cinismo;Humor elevado e eufórico;C;Errado. Burnout leva à redução da produtividade.;Errado. Há perda de energia e sensação de incompetência.;Correto. A tríade do Burnout é exaustão, cinismo e redução da eficácia profissional.;Errado. O humor tende a ficar deprimido ou irritável.;Burnout está relacionado ao estresse crônico no trabalho.;N/A;Médio
161;Matemática;Funções Quadráticas;Qual é o vértice da parábola definida por f(x) = x² - 4x + 3?;(2, -1);(-2, 15);(1, 0);(4, 3);A;Correto. Xv = -b/2a = 4/2 = 2;Yv = f(2) = 4 - 8 + 3 = -1;Errado. Verifique o cálculo do Xv usando a fórmula correta.;Errado. Este é um dos zeros da função, não o vértice.Errado. Confira as coordenadas do vértice., Vértice: Xv = -b/2a, Yv = f(Xv), Xv = -b/2a, Yv = -Δ/4a;N/A;N/A;Médio
162;Raciocínio Lógico;Lógica de Argumentação;"Considere o argumento: \""Todos os mamíferos têm pulmões. Alguns animais aquáticos são mamíferos. Logo, alguns animais aquáticos têm pulmões.\"" Este argumento é:";Válido;Inválido;Indeterminado;Contraditório;A;Correto. Segue a estrutura do silogismo válido: Todo M é P;Algum S é M;Logo, algum S é P.;Errado. As premissas sustentam a conclusão de forma válida.Errado. É possível determinar a validade pela teoria do silogismo., Errado. Não há contradição entre as premissas e a conclusão., Analise a estrutura usando diagramas de Venn ou regras do silogismo., N/A;N/A;N/A;Difícil
163;Psicologia;Saúde Mental;Uma característica fundamental de um ambiente de trabalho saudável é:;Cobrança excessiva de metas.;Estímulo à competitividade acima do bem-estar.;Valorização do equilíbrio entre as demandas e a qualidade de vida.;Foco exclusivo no resultado financeiro.;C;A e B referem-se a ambientes tóxicos.;C corresponde ao conceito de saúde mental no trabalho.;D desconsidera questões humanas.;Relacione “equilíbrio” e “bem-estar” às práticas saudáveis.;N/A;N/A;Fácil
164;Psicologia;Saúde Mental;O transtorno de ansiedade generalizada se caracteriza por:;Ansiedade restrita ao ambiente de trabalho.;Crises passageiras, com largo intervalo entre episódios.;Preocupação excessiva e persistente, mesmo sem motivo claro.;Impossibilidade de tratamento.;C;A restringe e não caracteriza o transtorno.;B crises passageiras não são o foco.;C descreve corretamente as características.;D é falsa, há tratamento eficaz.;Observe se a alternativa traz abrangência e persistência da ansiedade.;N/A;Fácil
165;Psicologia (Gestão);Clima Organizacional;O que melhor define o conceito de clima organizacional?;As regras formais e a estrutura hierárquica da empresa.;A percepção dos colaboradores sobre o ambiente de trabalho.;A estrutura física do local de trabalho.;A quantidade de benefícios oferecidos.;B;Burocracia não define clima.;Percepção dos colaboradores sobre ambiente é conceito correto.;Estrutura física é infra, não clima.;Benefícios são parte do clima, mas não o todo.;Procure noção de percepção coletiva e ambiente interno.;N/A;Fácil
166;Língua Portuguesa;Colocação Pronominal;Assinale a alternativa em que a colocação do pronome oblíquo átono está INCORRETA:;Não lhe direi a verdade.;Me empresta o livro.;Quero contar-lhe um segredo.;Haviam-no chamado para a festa.;B;Correto. Palavras negativas atraem o pronome (próclise).;Incorreto. Não se inicia frase com pronome oblíquo átono (correto: Empresta-me).;Correto. Infinitivo permite ênclise (depois do verbo).;Correto. Verbos no particípio aceitam ênclise.;Regra geral: evite iniciar frases com 'me', 'te', 'se', 'lhe', 'o', 'a', 'nos', 'vos'.;N/A;Médio
167;Direito Administrativo;Contratos Administrativos;Uma das características dos contratos administrativos é a presença de 'cláusulas exorbitantes'. Qual das seguintes NÃO é uma cláusula exorbitante?;Exigência de garantia.;Aplicação de sanções.;Alteração unilateral do contrato.;Rescisão unilateral.;A;Correto. Exigência de garantia é comum também em contratos privados.;Errado. Aplicação de sanções pela própria Administração é exorbitante.;Errado. Alteração unilateral (dentro dos limites legais) é poder exorbitante.;Errado. Rescisão unilateral pela Administração é poder exorbitante.;Cláusulas exorbitantes dão prerrogativas à Administração que não existem em contratos privados.;N/A;Médio
168;Raciocínio Lógico;Verdades e Mentiras;Três suspeitos, A, B e C, são interrogados. A diz: 'B mente'. B diz: 'C mente'. C diz: 'A e B mentem'. Sabendo que apenas um deles diz a verdade, quem diz a verdade?;A;B;C;Impossível determinar.;B;Se A fala a verdade, B mente. Se B mente, C fala a verdade. Mas só um pode falar a verdade, então A mente.;Se B fala a verdade, C mente. Se C mente, é falso que 'A e B mentem' (pelo menos um fala a verdade). Como B fala a verdade, A deve mentir. Isso é consistente.;Se C fala a verdade, A e B mentem. Se A mente, B fala a verdade. Isso contradiz a premissa de que B mente. Logo, C mente.;Teste cada hipótese assumindo que um deles fala a verdade e veja se há contradição.;N/A;N/A;Difícil
169;Direito Constitucional;Direitos Sociais;Qual dos seguintes direitos NÃO está expressamente previsto no Art. 6º da Constituição Federal como um direito social?;Moradia;Transporte;Meio ambiente equilibrado;Lazer;C;Errado. Moradia é direito social (Art. 6º).;Errado. Transporte é direito social (incluído por emenda).;Correto. Meio ambiente equilibrado é um direito fundamental (Art. 225), mas não listado no Art. 6º.;Errado. Lazer é direito social (Art. 6º).;Leia atentamente o Art. 6º da CF/88.;Art. 6º da CF/88;Fácil
170;Matemática;Álgebra (Produtos Notáveis);O produto notável (a + b)² é igual a:;a² + b²;a² - b²;a² + 2ab + b²;a² - 2ab + b²;C;Errado. Falta o termo do meio.;Errado. Esta é a diferença de quadrados: (a+b)(a-b).;Correto. É o 'quadrado do primeiro, mais duas vezes o primeiro pelo segundo, mais o quadrado do segundo'.;Errado. Este é o quadrado da diferença: (a - b)².;Lembre-se da regra ou faça a distributiva: (a+b)(a+b) = aa + ab + ba + bb.;(a + b)² = a² + 2ab + b²;Fácil
171;Psicologia (Gestão);Recrutamento e Seleção;O tipo de entrevista em que o entrevistador faz perguntas padronizadas, na mesma ordem, para todos os candidatos, é chamado de:;Entrevista não estruturada;Entrevista semiestruturada;Entrevista estruturada;Entrevista por competências;C;Errado. Não estruturada é livre, como uma conversa.;Errado. Semiestruturada tem um roteiro, mas permite flexibilidade.;Correto. Estruturada segue um roteiro rígido para garantir comparação.;Errado. Entrevista por competências foca em exemplos de comportamentos passados (pode ser estruturada ou não).;Estruturada = Rígida, Padronizada.;N/A;Fácil
172;Atualidades;Política Brasileira;Em 2024, qual estado brasileiro foi severamente afetado por enchentes históricas, mobilizando grande ajuda nacional?;Santa Catarina;Rio Grande do Sul;Bahia;Minas Gerais;B;Errado. Santa Catarina sofre com enchentes, mas não na escala histórica de 2024.;Correto. O Rio Grande do Sul enfrentou a maior catástrofe climática de sua história em 2024.;Errado. Bahia e Minas Gerais tiveram enchentes graves em anos anteriores, mas 2024 marcou o RS.;Errado. Bahia e Minas Gerais tiveram enchentes graves em anos anteriores, mas 2024 marcou o RS.;Eventos climáticos extremos têm sido recorrentes no Brasil.;N/A;Fácil
173;Língua Portuguesa;Conjunções;Qual conjunção introduz uma ideia de CONCLUSÃO?;Embora;Portanto;Contudo;Ou;B;Errado. 'Embora' indica concessão.;Correto. 'Portanto', 'logo', 'assim', 'então' são conclusivas.;Errado. 'Contudo', 'mas', 'porém' indicam adversidade/oposição.;Errado. 'Ou' indica alternância.;Pense: 'Estudei muito, PORTANTO, fui aprovado' (conclusão).;N/A;Fácil
174;Direito Administrativo;Organização Administrativa;Uma autarquia, como o INSS ou o IBAMA, faz parte da:;Administração Direta;Administração Indireta;Iniciativa Privada;Terceiro Setor;B;Errado. Administração Direta são os órgãos dos entes federativos (ex: Ministérios, Secretarias).;Correto. Administração Indireta compreende as entidades com personalidade jurídica própria criadas pelo Estado (Autarquias, Fundações Públicas, Empresas Públicas, Sociedades de Economia Mista).;Errado.;Errado.;Indireta = Entidades criadas pelo Estado, mas com 'vida própria' (CNPJ próprio).;N/A;Médio
175;Raciocínio Lógico;Implicação Lógica;Se a proposição 'P -> Q' (Se P, então Q) é FALSA, podemos concluir que:;P é V e Q é V;P é V e Q é F;P é F e Q é V;P é F e Q é F;B;Errado. Se ambos fossem V, a implicação seria V.;Correto. A única forma de uma condicional ser falsa é se a primeira parte (P) for Verdadeira e a segunda (Q) for Falsa (Regra do 'Vera Fischer').;Errado. Se P fosse F, a implicação seria V (regra: 'F -> qualquer coisa = V').;Errado. Se P fosse F, a implicação seria V.;Lembre-se da regra 'V -> F = F'. Todas as outras combinações dão V.;N/A;Médio
176;Direito Constitucional;Teoria da Constituição;O poder que elabora uma nova Constituição, rompendo com a ordem jurídica anterior, é chamado de:;Poder Constituinte Derivado Reformador;Poder Constituinte Derivado Decorrente;Poder Constituinte Originário;Poder Constituinte Difuso;C;Errado. Reformador é o que faz emendas.;Errado. Decorrente é o que cria Constituições Estaduais.;Correto. Originário (ou de 1º grau) é o que cria a Constituição.;Errado. Difuso é o controle de constitucionalidade pelos juízes.;Originário = Cria a Constituição. Derivado = Modifica a Constituição.;N/A;Médio
177;Matemática;Análise Combinatória;De quantas maneiras diferentes 3 pessoas podem sentar em 5 cadeiras?;6;10;15;60;D;Errado.;Errado.;Errado.;Correto. É um arranjo (a ordem importa). A(n, p) = n! / (n-p)! = 5! / (5-3)! = 5! / 2! = (5*4*3*2*1) / (2*1) = 120 / 2 = 60.;Como a ordem das pessoas nas cadeiras importa, usamos Arranjo.;A(n, p) = n! / (n-p)!;Difícil
178;Psicologia (Saúde);Desenvolvimento Humano (Piaget);Segundo Jean Piaget, o estágio do desenvolvimento cognitivo em que a criança começa a usar a lógica para eventos concretos e entende a conservação de quantidade é o:;Sensório-motor;Pré-operatório;Operatório Concreto;Operatório Formal;C;Errado. Sensório-motor (0-2 anos) é sobre sentidos e ações.;Errado. Pré-operatório (2-7 anos) é egocêntrico e pré-lógico.;Correto. Operatório Concreto (7-11 anos) marca o início do pensamento lógico aplicado a objetos concretos.;Errado. Operatório Formal (11+ anos) é sobre pensamento abstrato e hipotético.;Concreto = Lógica aplicada ao que se pode ver e tocar.;N/A;Médio
179;Atualidades;Sustentabilidade;Os Objetivos de Desenvolvimento Sustentável (ODS) são uma agenda global adotada pela ONU. Quantos ODS existem?;10;15;17;20;C;Errado.;Errado.;Correto. São 17 ODS que abordam temas como erradicação da pobreza, fome zero, saúde, educação, igualdade de gênero, água limpa, energia acessível, etc., a serem alcançados até 2030.;Errado.;Os ODS são a Agenda 2030 da ONU.;N/A;Fácil
180;Língua Portuguesa;Morfologia (Classes de Palavras);Na frase 'O rápido atleta venceu a corrida facilmente', as palavras 'rápido' e 'facilmente' são, respectivamente:;Adjetivo e Advérbio;Advérbio e Adjetivo;Substantivo e Advérbio;Adjetivo e Verbo;A;Correto. 'Rápido' caracteriza 'atleta' (substantivo), logo é adjetivo. 'Facilmente' modifica o modo como 'venceu' (verbo), logo é advérbio.;Errado.;Errado. 'Rápido' não é substantivo aqui.;Errado. 'Facilmente' não é verbo.;Adjetivo = Qualidade do substantivo. Advérbio = Circunstância do verbo, adjetivo ou outro advérbio.;N/A;Fácil
181;Direito Administrativo;Controle da Administração;O controle exercido por um órgão sobre seus próprios atos (ex: revogação ou anulação pela própria autoridade que praticou o ato) é chamado de:;Controle Externo;Controle Judicial;Autotutela;Tutela;C;Errado. Externo é por outro Poder (ex: Legislativo ou Judiciário).;Errado. Judicial é pelo Poder Judiciário.;Correto. Autotutela é o poder-dever da Administração de controlar seus próprios atos (anular ilegais, revogar inconvenientes).;Errado. Tutela (ou controle finalístico) é o controle da Adm. Direta sobre a Indireta.;Auto = Próprio. Tutela = Controle.;Súmulas 346 e 473 do STF;Médio
182;Raciocínio Lógico;Quantificadores Lógicos;Qual é a negação de '∃x (P(x) ^ Q(x))' (Existe algum x tal que P(x) E Q(x))?;∀x (~P(x) ^ ~Q(x));∀x (P(x) -> ~Q(x));∀x (~P(x) v ~Q(x));∃x (~P(x) v ~Q(x));C;Errado. Negou tudo, mas manteve o 'E'.;Errado. Isso é ∀x (~P(x) v ~Q(x)), que é a resposta C.;Correto. Negação de 'Existe' é 'Para Todo'. Negação de 'E' (^) é 'OU' (v). E nega-se as proposições internas. ∀x (~P(x) v ~Q(x)).;Errado. Manteve o 'Existe'.;Negação de ∃x, A(x) = ∀x, ~A(x). Use De Morgan para negar a conjunção.;N/A;Difícil
183;Direito Constitucional;Poder Judiciário;A competência para processar e julgar, originariamente, o Presidente da República nos crimes de responsabilidade é do(a):;Supremo Tribunal Federal (STF);Superior Tribunal de Justiça (STJ);Senado Federal;Câmara dos Deputados;C;Errado. O STF julga o Presidente nos crimes comuns.;Errado. O STJ julga Governadores.;Correto. O Senado Federal processa e julga o Presidente nos crimes de responsabilidade, após autorização da Câmara (processo de Impeachment).;Errado. A Câmara apenas autoriza a instauração do processo.;Impeachment = Autorização (Câmara) + Julgamento (Senado).;Art. 52, I e Art. 86 da CF/88;Médio
184;Matemática;Progressão Aritmética (PA);Qual é o 10º termo de uma PA cujo primeiro termo (a1) é 3 e a razão (r) é 4?;36;39;43;47;B;Errado. Este seria o 9º termo (3 + 8*4).;Correto. an = a1 + (n-1)*r => a10 = 3 + (10-1)4 = 3 + 94 = 3 + 36 = 39.;Errado. Verifique a fórmula do termo geral.;Errado.;Use a fórmula do termo geral da PA.;an = a1 + (n-1)*r;Fácil
185;Psicologia (Saúde);Psicologia Hospitalar;Qual o principal objetivo da Psicologia Hospitalar?;Diagnosticar transtornos mentais no hospital.;Oferecer psicoterapia de longo prazo aos pacientes.;Atuar nos aspectos psicológicos relacionados ao adoecimento e hospitalização.;Administrar a equipe de enfermagem.;C;Errado. O diagnóstico psiquiátrico formal é do médico, embora o psicólogo contribua.;Errado. O foco é mais breve e ligado à situação de saúde.;Correto. Abrange o paciente, a família e a equipe de saúde.;Errado. Não é função do psicólogo.;Foco no impacto psicológico da doença e internação.;N/A;Fácil
186;Atualidades;Cultura Digital;O termo usado para descrever notícias falsas ou enganosas, criadas deliberadamente para desinformar ou obter ganhos, é:;Clickbait;Phishing;Fake News;Spam;C;Errado. Clickbait são títulos sensacionalistas para atrair cliques.;Errado. Phishing é fraude para obter dados pessoais (ex: senhas).;Correto. Fake News é a disseminação intencional de desinformação.;Errado. Spam são mensagens não solicitadas em massa (ex: e-mails).;Fake News = Notícia Falsa.;N/A;Fácil
187;Língua Portuguesa;Funções da Linguagem;Qual função da linguagem predomina em um manual de instruções, cujo objetivo principal é orientar o leitor a realizar uma ação?;Função Emotiva;Função Referencial;Função Conativa (ou Apelativa);Função Poética;C;Errado. Emotiva foca no emissor (sentimentos).;Errado. Referencial foca no contexto (informar objetivamente).;Correto. Conativa (ou Apelativa) foca no receptor, buscando influenciá-lo ou dar ordens (verbos no imperativo são comuns).;Errado. Poética foca na mensagem (forma, estética).;Manual = Ordem/Instrução = Foco no Receptor.;N/A;Médio
188;Direito Administrativo;Agentes Públicos;Um indivíduo que presta serviços ao Estado de forma transitória, sem vínculo empregatício, mediante convocação (ex: mesário eleitoral), é classificado como:;Servidor Público Estatutário;Empregado Público (Celetista);Agente Político;Agente Honorífico;D;Errado. Estatutário tem cargo efetivo.;Errado. Celetista tem contrato de trabalho (CLT).;Errado. Político exerce mandato (ex: Presidente, Prefeito).;Correto. Agente Honorífico (ou 'munus público') exerce função pública relevante, geralmente sem remuneração e de forma transitória.;Honorífico = Presta uma honra (serviço cívico).;N/A;Médio
189;Raciocínio Lógico;Silogismos;Considere as premissas: P1: Todos os cães são mamíferos. P2: Nenhum gato é cão. Qual conclusão pode ser logicamente derivada?;Nenhum gato é mamífero.;Algum gato é mamífero.;Algum mamífero não é gato.;Nenhuma conclusão válida pode ser derivada.;D;Errado. Não podemos concluir isso.;Errado. Não podemos concluir isso.;Errado. Embora verdadeiro no mundo real, não deriva logicoamente das premissas.;Correto. O termo médio ('cães') está distribuído em P1 (sujeito de universal) mas não está distribuído em P2 (predicado de negativa), violando regra do silogismo. Não há conexão lógica entre 'gato' e 'mamífero' pelas premissas dadas.;O termo médio (o que se repete) precisa estar 'distribuído' (referir-se a todos os membros da classe) em pelo menos uma premissa.;N/A;Difícil
190;Direito Constitucional;Direitos Políticos;O alistamento eleitoral e o voto são ___ para os maiores de 18 anos no Brasil.;Obrigatórios;Facultativos;Proibidos;Obrigatórios apenas para homens.;A;Correto. A CF/88 estabelece a obrigatoriedade.;Errado. É facultativo para analfabetos, maiores de 70 e maiores de 16 e menores de 18.;Errado.;Errado.;Voto e Alistamento = Obrigatórios (18-70 anos).;Art. 14, § 1º, I da CF/88;Fácil
191;Matemática;Trigonometria;Em um triângulo retângulo, o cosseno de um ângulo agudo é definido como a razão entre:;Cateto Oposto e Hipotenusa;Cateto Adjacente e Hipotenusa;Cateto Oposto e Cateto Adjacente;Hipotenusa e Cateto Adjacente;B;Errado. Esta é a definição do Seno.;Correto. Cosseno = Cateto Adjacente / Hipotenusa.;Errado. Esta é a definição da Tangente.;Errado.;Lembre-se do 'SOH CAH TOA': Seno=Oposto/Hipotenusa, Cosseno=Adjacente/Hipotenusa, Tangente=Oposto/Adjacente.;N/A;Fácil
192;Psicologia (Saúde);Políticas Públicas de Saúde Mental;A Reforma Psiquiátrica no Brasil (Lei 10.216/2001) teve como um de seus principais objetivos:;Aumentar o número de hospitais psiquiátricos.;Substituir o modelo hospitalocêntrico por uma rede de atenção psicossocial (RAPS).;Proibir o uso de medicamentos psicotrópicos.;Privatizar todos os serviços de saúde mental.;B;Errado. O objetivo foi o contrário: reduzir leitos e desinstitucionalizar.;Correto. A lei buscou criar serviços comunitários (CAPS, residências terapêuticas) para substituir o hospital como centro do tratamento.;Errado. A medicação continua sendo parte importante do tratamento.;Errado. O SUS é a base da RAPS.;A Reforma buscou um tratamento mais humanizado e na comunidade.;Lei 10.216/2001;Médio
193;Atualidades;Inteligência Artificial;O campo da Inteligência Artificial que se concentra em treinar máquinas para aprenderem padrões a partir de dados, sem serem explicitamente programadas, é chamado de:;Processamento de Linguagem Natural (PLN);Visão Computacional;Aprendizado de Máquina (Machine Learning);Sistemas Especialistas;C;Errado. PLN foca na interação com linguagem humana.;Errado. Visão Computacional foca na interpretação de imagens.;Correto. Machine Learning é sobre algoritmos que 'aprendem' com dados.;Errado. Sistemas Especialistas simulam o conhecimento de um expert humano em área restrita.;Machine Learning = Aprender com Dados.;N/A;Fácil
194;Língua Portuguesa;Orações Coordenadas;A oração 'Estudei bastante, logo fui aprovado' classifica-se como:;Coordenada Sindética Aditiva;Coordenada Sindética Adversativa;Coordenada Sindética Conclusiva;Coordenada Sindética Explicativa;C;Errado. Aditivas usam 'e', 'nem'.;Errado. Adversativas usam 'mas', 'porém'.;Correto. 'Logo', 'portanto', 'assim' introduzem uma conclusão da oração anterior.;Errado. Explicativas usam 'porque', 'pois' (antes do verbo).;A segunda oração ('fui aprovado') é uma consequência lógica da primeira.;N/A;Fácil
195;Direito Administrativo;Processo Administrativo (Lei 9.784);Qual o prazo geral, segundo a Lei 9.784/99, para a Administração Pública decidir sobre um requerimento ou solicitação do administrado, salvo disposição específica?;10 dias;15 dias;30 dias;60 dias;C;Errado.;Errado.;Correto. O Art. 49 da Lei 9.784/99 estabelece o prazo de 30 dias.;Errado.;Dica: Lei 9.784/99, Art. 49.;N/A;Médio
196;Raciocínio Lógico;Estruturas Lógicas;Se 'Nenhum A é B', qual das seguintes afirmações é necessariamente verdadeira?;Todo B é A.;Algum A é B.;Algum A não é B.;Todo A não é B.;D;Errado. Não há informação sobre B.;Errado. Contradiz a premissa.;Errado. Isso é verdadeiro, mas 'Todo A não é B' é mais forte e também deriva da premissa.;Correto. 'Nenhum A é B' é equivalente a 'Todo A não é B' (ou 'Todo A é não-B').;Pense em diagramas de Venn: o conjunto A e o conjunto B são disjuntos (separados).;N/A;Médio
197;Direito Constitucional;Direitos Políticos;Qual a idade mínima para se candidatar ao cargo de Presidente da República no Brasil?;21 anos;30 anos;35 anos;40 anos;C;Errado. 21 anos é para Deputado, Prefeito.;Errado. 30 anos é para Governador.;Correto. Presidente, Vice-Presidente e Senador exigem 35 anos.;Errado.;Decore as idades mínimas para cada cargo eletivo.;Art. 14, § 3º, VI, a) da CF/88;Fácil
198;Matemática;Progressão Geométrica (PG);Qual é o 5º termo de uma PG cujo primeiro termo (a1) é 2 e a razão (q) é 3?;48;81;162;243;C;Errado. Este seria o 4º termo (2 * 3³).;Errado. Este seria 3 elevado à 4ª potência.;Correto. an = a1 * q^(n-1) => a5 = 2 * 3^(5-1) = 2 * 3^4 = 2 * 81 = 162.;Errado. Este seria o 6º termo (162 * 3).;Use a fórmula do termo geral da PG.;an = a1 * q^(n-1);Médio
199;Psicologia (Saúde);Teorias da Personalidade;Qual teórico da personalidade é conhecido por introduzir os conceitos de 'Arquétipos' e 'Inconsciente Coletivo'?;Sigmund Freud;Carl Rogers;B.F. Skinner;Carl Jung;D;Errado. Freud focou no Id, Ego, Superego e inconsciente pessoal.;Errado. Rogers é da abordagem humanista (centrada na pessoa).;Errado. Skinner é do behaviorismo radical.;Correto. Jung, discípulo dissidente de Freud, desenvolveu a Psicologia Analítica com esses conceitos.;Arquétipos = Imagens primordiais universais. Inconsciente Coletivo = Herança psíquica da humanidade.;N/A;Médio
200;Atualidades;Economia Brasileira;O sistema de pagamentos instantâneos brasileiro, que permite transferências e pagamentos 24/7, é conhecido como:;TED;DOC;PIX;Boleto;C;Errado. TED tem limitações de horário.;Errado. DOC tem limitações de horário e valor.;Correto. PIX é o sistema de pagamentos instantâneos do Banco Central.;Errado. Boleto tem prazo de compensação.;PIX revolucionou os pagamentos no Brasil.;N/A;Fácil
201;Língua Portuguesa;Concordância Nominal;Assinale a alternativa em que a concordância nominal está INCORRETA:;Comprei bastantes livros.;As alunas mesmas fizeram o trabalho.;É proibido entrada de estranhos.;Seguem anexas as planilhas.;C;Errado. 'Bastante' como advérbio é invariável, mas aqui é pronome adjetivo (=muitos), concordando com 'livros'.;Errado. 'Mesmas' concorda com 'alunas'.;Correto. A expressão 'É proibido' só varia se o sujeito tiver artigo (seria 'É proibida A entrada'). Sem artigo, fica invariável no masculino.;Errado. 'Anexas' concorda com 'planilhas'.;Regra do 'É proibido/bom/necessário': só varia se o sujeito tiver artigo definido.;N/A;Médio
202;Direito Administrativo;Controle da Administração;O controle que visa verificar a legitimidade e a economicidade dos atos administrativos, exercido principalmente pelos Tribunais de Contas, é o controle:;Legislativo;Judicial;Interno;Externo (Financeiro);D;Errado. O controle legislativo é mais amplo (político, CPIs).;Errado. O judicial verifica apenas a legalidade.;Errado. Interno é pela própria Administração.;Correto. O Tribunal de Contas (órgão auxiliar do Legislativo) exerce o controle externo com foco financeiro, contábil, orçamentário, operacional e patrimonial.;Tribunal de Contas = Controle Externo Financeiro.;Art. 70 e 71 da CF/88;Médio
203;Raciocínio Lógico;Estruturas Lógicas;Se a afirmação 'Alguns A são B' é VERDADEIRA, o que podemos concluir sobre 'Nenhum A é B'?;É necessariamente verdadeira.;É necessariamente falsa.;Pode ser verdadeira ou falsa.;É indeterminada.;B;Errado. Se 'alguns são', 'nenhum' não pode ser verdadeiro.;Correto. 'Algum A é B' e 'Nenhum A é B' são contraditórias. Se uma é V, a outra tem que ser F.;Errado. Elas não podem ser ambas verdadeiras.;Errado. É determinada como falsa.;Relações no Quadro de Oposição: 'A' (Todo) vs 'O' (Algum não) são contraditórias. 'E' (Nenhum) vs 'I' (Algum) são contraditórias.;N/A;Médio
